;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; OCTUBRE 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TRABAJOS DE IMPRESIÓN;634360;;;;;;;;;;;;;;;;;;;;;;;1/6/2020;;;;ACUMULADO IMPRESORA 9  - BOBST;;;;;;;;;;;;;;;;;;;;;;;;;;;;ACUMULADO IMPRESORA 6 -  FLEXOTECNICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;ACUMULADO IMPRESORA 8 - COMEXI;;;;;;;;;;;;;;;;;;;;;;;;;;;;ACUMULADO IMPRESORA 10 - COMEXI;;;;;;;;;;;;;;;;;;;;;;;;;;;;ACUMULADO IMPRESORA 7 - FLEXOTECNICA - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 554062/2;Orden de;Art.;Fam;Cliente;Descripcion del;Cambio mecánico;;;Cambios;;;Set - up;;;Tiempo  Proceso;;;Metros;Vel. Prom ;Kilos;Kilos;Kg Scrap;% Scrap;Superv.;maquin.;cambio;Fecha;;Orden de;Art.;Fam;;Descripcion del;Cambio mecánico;;;Cambios;;;Set - up;;;Tiempo  Proceso;;;Metros;Vel. Prom ;Kilos;Kilos;Kg Scrap;% Scrap;Superv.;maquin.;cambio;Fecha;;Orden de;Art.;Fam;;Descripcion del;Cambio mecánico;;;Cambios;;;Set - up;;;Tiempo  Proceso;;;Metros;Vel. Prom ;Kilos;Kilos;Kg Scrap;% Scrap;Superv.;maquin.;cambio;Fecha;; Orden de ; Art. ; Fam ;; Descripcion del ;Cambio mecánico;;;Cambios;;;Set - up;;;Tiempo  Proceso;;;Metros;Vel. Prom ;Kilos;Kilos;Kg Scrap;% Scrap;Superv.;maquin.;cambio;Fecha;;Orden de;Art.;Fam;;Descripcion del;Cambio mecánico;;;Cambios;;;Set - up;;;Tiempo  Proceso;;;Metros;Vel. Prom ;Kilos;Kilos;Kg Scrap;% Scrap;Superv.;maquin.;cambio;Fecha;;Orden de;Art.;Fam;;Descripcion del;Cambio mecánico;;;Cambios;;;Set - up;;;Tiempo  Proceso;;;Metros;Vel. Prom ;Kilos;Kilos;Kg Scrap;% Scrap;Superv.;maquin.;cambio;Fecha;;IMP.;Sup.;Sup.;Sup.;Sup.;IMP.;Sup.;Sup.;Sup.;Sup.;IMP.;Sup.;Sup.;Sup.;Sup.;IMP.;Sup.;Sup.;Sup.;Sup.;IMP.;Sup.;Sup.;Sup.;Sup.;IMP.;Sup.;Sup.;Sup.;Sup.;
;Fabricacion;;;;Producto;;;;Ma;Cil/Car;Anil;;;;;;;Impresos;;Producidos;MP;;;;;;;;Fabricacion;;;;Producto;;;;Ma;Cil/Car;Anil;;;;;;;Impresos;;Producidos;MP;;;;;;;;Fabricacion;;;;Producto;;;;Ma;Cil/Car;Anil;;;;;;;Impresos;;Producidos;MP;;;;;;;; Fabricacion ;;;; Producto ;;;;Ma;Cil/Car;Anil;;;;;;;Impresos;;Producidos;MP;;;;;;;;Fabricacion;;;;Producto;;;;Ma;Cil/Car;Anil;;;;;;;Impresos;;Producidos;MP;;;;;;;;Fabricacion;;;;Producto;;;;Ma;Cil/Car;Anil;;;;;;;Impresos;;Producidos;MP;;;;;;;;5;RT;RB;OV;MO;6;RT;RB;OV;MO;7;RT;RB;OV;MO;8;RT;RB;OV;MO;9;RT;RB;OV;MO;TODAS;RT;RB;OV;MO;
;O.Fabricacion;Art.;Fam.;Cliente;Producto;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;X18;Superv.;maquin.;cambio;Fecha;CAMBIOMINUTOS;O.Fabricacion;Art.;Fam.;Cliente;Producto;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;X18;Superv.;maquin.;cambio;Fecha;;O.Fabricacion;Art.;Fam.;Cliente;Producto;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;X18;Superv.;maquin.;cambio;Fecha;;O.Fabricacion;Art.;Fam.;Cliente;Producto;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;X18;Superv.;maquin.;cambio;Fecha;;O.Fabricacion;Art.;Fam.;Cliente;Producto;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;X18;Superv.;maquin.;cambio;Fecha;;O.Fabricacion;Art.;Fam.;Cliente;Producto;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;X18;Superv.;maquin.;cambio;Fecha;;43263;0;0;0;0;43263;0;125;35;0;43263;120;0;160;0;43263;0;85;0;0;43263;74;0;240;0;43263;87,14285714;105;126;0;
;155932;602688;FILM;;LAMINA MERCADO LIBRE Nº2;;:;;;;;;:;;8;:;0;135000;281;7368;7385;17;0,2%;RT;PEREZ;;1/10/2020;;155932;602688;FILM;;LAMINA MERCADO LIBRE Nº2;;:;;;;;;:;;8;:;0;135000;281;7368;7385;17;0,2%;RT;PEREZ;;1/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;155913;602207;TOALLITAS;;TH NOS B NOCHES X 14 (110240);;:;;;;;;:;;0;:;20;2500;125;85;85;0;0,0%;RT;REYES;;1/10/2020;;155787;601997;BACK;; 145 MM LENTERDIT;0;:;45;2;;2;0;:;30;3;:;35;58000;270;1267;1260;15;1,2%;RT;KUHN;1;1/10/2020;;155787;601997;BACK;; 145 MM LENTERDIT;0;:;40;2;;2;0;:;40;2;:;40;39000;244;833;800;0;0,0%;MO;MACIEL;1;1/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;155932;602688;FILM;;LAMINA MERCADO LIBRE Nº2;;:;;;;;;:;;4;:;0;72000;300;3920;3956;30;0,8%;CM;GOMEZ W.;;1/10/2020;;155932;602688;FILM;;LAMINA MERCADO LIBRE Nº2;;:;;;;;;:;;4;:;0;72000;300;3920;3956;30;0,8%;CM;GOMEZ W.;;1/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;155682;602225;TOALLITAS;;NOSOTRAS PD CORTO FE X 40 (106045);0;:;40;6;6;;0;:;40;1;:;50;32000;291;645;661;18;2,7%;RT;REYES;1;1/10/2020;;155765;602824;PAÑAL;;ESTRELLA BABY XG X 36;0;:;30;8;8;7;;:;;;:;;;0;;;;0,0%;RT;KUHN;0,5;1/10/2020;;155787;601997;BACK;; 145 MM LENTERDIT;;:;;;;;;:;;5;:;45;125000;362;2543;2532;0;0,0%;RT;DIAZ J.;;2/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;155932;602688;FILM;;LAMINA MERCADO LIBRE Nº2;;:;;;;;;:;;4;:;0;79000;329;4238;4241;28;0,7%;CM;GALVAN;;1/10/2020;;155932;602688;FILM;;LAMINA MERCADO LIBRE Nº2;;:;;;;;;:;;4;:;0;79000;329;4238;4241;28;0,7%;CM;GALVAN;;1/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;155885;600687;TOALLITAS;;NOSOTRAS ALAS TELA GEL C/A X 8;0;:;20;6;;1;1;:;5;2;:;15;38000;281;1338;1375;20;1,5%;RT;REYES;1;1/10/2020;;155765;602824;PAÑAL;;ESTRELLA BABY XG X 36;;:;;;;;1;:;5;4;:;25;55000;208;3966;3939;25;0,6%;CM;MARINO;0,5;1/10/2020;;155806;600622;BACK;;LENTERDIT ROSA 145 MM;0;:;10;1;;;0;:;5;;:;;;;;;0;;RT;DIAZ J.;0,5;2/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;155932;602688;FILM;;LAMINA MERCADO LIBRE Nº2;;:;;;;;;:;;2;:;10;42500;327;2230;2252;18;0,8%;MO;GALVAN;;1/10/2020;;155932;602688;FILM;;LAMINA MERCADO LIBRE Nº2;;:;;;;;;:;;2;:;10;42500;327;2230;2252;18;0,8%;MO;GALVAN;;1/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;312195;602195;TOALLITAS;;BSP PADFEMMIMP9 X 8;0;:;50;7;7;2;;:;;;:;;;;;;0;;RT;REYES;0,5;1/10/2020;;155787;601997;BACK;; 145 MM LENTERDIT;0;:;40;8;8;1;0;:;25;1;:;25;25000;294;370;388;22;5,7%;MO;HAEDO;1;1/10/2020;;155806;600622;BACK;;LENTERDIT ROSA 145 MM;;:;;;;;;:;;5;:;0;124000;413;2292;2262;0;0,0%;RB;BENNA;0,5;2/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
